State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code,Day,Month,Year,DayOfWeek,WeekOfYear,Quarter,Lag_1,Lag_7,Lag_30,MA_7,MA_15,MA_30,Price_Spread,Volatility
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,03-04-2003,188,250,219,24,3,4,2003,3,14,2,180,200,231,205.2857143,215.4,226.6333333,62,0.283105023
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,04-04-2003,188,250,219,24,4,4,2003,4,14,2,219,188,225,209.7142857,213.7333333,226.4333333,62,0.283105023
NCT of Delhi,Delhi,Shahdara,Potato,Kufri Giriraj,FAQ,04-04-2003,150,220,200,24,4,4,2003,4,14,2,219,200,238,209.7142857,210.4,225.1666667,70,0.35
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,05-04-2003,175,225,200,24,5,4,2003,5,14,2,200,225,225,206.1428571,209.1333333,224.3333333,50,0.25
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,06-04-2003,175,225,200,24,6,4,2003,6,14,2,200,225,225,202.5714286,207.0666667,223.5,50,0.25
NCT of Delhi,Delhi,Shahdara,Potato,Other,FAQ,06-04-2003,270,320,300,24,6,4,2003,6,14,2,200,200,225,216.8571429,211.2,226,50,0.166666667
NCT of Delhi,Delhi,Shahdara,Potato,Potato,FAQ,06-04-2003,160,260,220,24,6,4,2003,6,14,2,300,180,231,222.5714286,212.1333333,225.6333333,100,0.454545455
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,07-04-2003,150,200,175,24,7,4,2003,0,15,2,220,219,238,216.2857143,210.0666667,223.5333333,50,0.285714286
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,08-04-2003,150,225,188,24,8,4,2003,1,15,2,175,219,238,211.8571429,209.2666667,221.8666667,75,0.39893617
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,09-04-2003,175,225,200,24,9,4,2003,2,15,2,188,200,250,211.8571429,210.0666667,220.2,50,0.25
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,10-04-2003,213,250,231,24,10,4,2003,3,15,2,200,200,250,216.2857143,212.1333333,219.5666667,37,0.16017316
NCT of Delhi,Delhi,Keshopur,Potato,Potato,FAQ,11-04-2003,200,250,225,24,11,4,2003,4,15,2,231,200,250,219.8571429,212.1333333,218.7333333,50,0.222222222
